% # of blocks, # maximum delay
174,252640
% block no, block name, core, start time, end time
0,a_controller_System,0,252631,252632
1,a_controller_System_Terminator,1,247863,247864
2,a_controller_System_Terminator1,1,247862,247863
3,a_controller_System_duty,0,252629,252630
4,a_controller_System_duty_culc,0,252632,252633
5,a_controller_System_duty_culc_Abs1,1,201527,201580
6,a_controller_System_duty_culc_Constant1,0,207999,208000
7,a_controller_System_duty_culc_Constant10,0,201096,201097
8,a_controller_System_duty_culc_Constant12,0,53053,53054
9,a_controller_System_duty_culc_Constant2,1,201288,201289
10,a_controller_System_duty_culc_Constant24,0,208000,208001
11,a_controller_System_duty_culc_Constant25,0,179103,179104
12,a_controller_System_duty_culc_Constant26,0,208001,208002
13,a_controller_System_duty_culc_Constant27,0,184732,184733
14,a_controller_System_duty_culc_Constant3,1,201411,201412
15,a_controller_System_duty_culc_Constant4,1,201469,201470
16,a_controller_System_duty_culc_Constant5,1,201678,201679
17,a_controller_System_duty_culc_Constant6,0,208002,208003
18,a_controller_System_duty_culc_Constant7,0,208003,208004
19,a_controller_System_duty_culc_Constant8,0,208004,208005
20,a_controller_System_duty_culc_Constant9,0,195466,195467
21,a_controller_System_duty_culc_Divide1,1,201162,201227
22,a_controller_System_duty_culc_Divide2,1,201346,201411
23,a_controller_System_duty_culc_Product1,1,201412,201469
24,a_controller_System_duty_culc_Product2,1,201746,201807
25,a_controller_System_duty_culc_Product3,0,224889,233027
26,a_controller_System_duty_culc_RateTransition2,1,201894,201926
27,a_controller_System_duty_culc_RateTransition3,0,242739,247840
28,a_controller_System_duty_culc_Saturation1,1,201807,201894
29,a_controller_System_duty_culc_Subsystem1,0,252633,252634
30,a_controller_System_duty_culc_Subsystem1_Constant,0,190361,190362
31,a_controller_System_duty_culc_Subsystem1_Divide,0,190362,195466
32,a_controller_System_duty_culc_Subsystem1_In1,0,144152,144153
33,a_controller_System_duty_culc_Subsystem1_Out1,0,201095,201096
34,a_controller_System_duty_culc_Subsystem1_Subtract,0,147394,175862
35,a_controller_System_duty_culc_Subsystem1_UnitDelay,0,58682,64380
36,a_controller_System_duty_culc_Subsystem1_UnitDelay1,0,64380,70078
37,a_controller_System_duty_culc_Subsystem1_UnitDelay10,0,70078,75776
38,a_controller_System_duty_culc_Subsystem1_UnitDelay11,0,75776,81474
39,a_controller_System_duty_culc_Subsystem1_UnitDelay12,0,81474,87172
40,a_controller_System_duty_culc_Subsystem1_UnitDelay13,0,87172,92870
41,a_controller_System_duty_culc_Subsystem1_UnitDelay14,0,92870,98568
42,a_controller_System_duty_culc_Subsystem1_UnitDelay2,0,98568,104266
43,a_controller_System_duty_culc_Subsystem1_UnitDelay3,0,104266,109964
44,a_controller_System_duty_culc_Subsystem1_UnitDelay4,0,109964,115662
45,a_controller_System_duty_culc_Subsystem1_UnitDelay5,0,115662,121360
46,a_controller_System_duty_culc_Subsystem1_UnitDelay6,0,121360,127058
47,a_controller_System_duty_culc_Subsystem1_UnitDelay7,0,127058,132756
48,a_controller_System_duty_culc_Subsystem1_UnitDelay8,0,132756,138454
49,a_controller_System_duty_culc_Subsystem1_UnitDelay9,0,138454,144152
50,a_controller_System_duty_culc_Subsystem1_Zero_OrderHold,0,144153,147394
51,a_controller_System_duty_culc_Sum3,1,201227,201288
52,a_controller_System_duty_culc_Sum4,1,201289,201346
53,a_controller_System_duty_culc_Sum5,1,201470,201527
54,a_controller_System_duty_culc_Switch1,1,201679,201746
55,a_controller_System_duty_culc_Switch16,0,179104,184732
56,a_controller_System_duty_culc_Switch17,0,184733,190361
57,a_controller_System_duty_culc_Switch2,0,213633,219261
58,a_controller_System_duty_culc_Switch3,0,219261,224889
59,a_controller_System_duty_culc_Switch4,0,208005,213633
60,a_controller_System_duty_culc_Switch5,0,195467,201095
61,a_controller_System_duty_culc_Switch6,0,201941,207999
62,a_controller_System_duty_culc_Switch8,0,53054,58682
63,a_controller_System_duty_culc_UnitDelay1,1,201580,201678
64,a_controller_System_duty_culc_Zero_OrderHold1,0,175862,179103
65,a_controller_System_duty_culc_Zero_OrderHold4,1,183028,183079
66,a_controller_System_duty_culc_Zero_OrderHold5,1,201111,201162
67,a_controller_System_duty_culc_duty22,0,252628,252629
68,a_controller_System_duty_culc_w,0,53052,53053
69,a_controller_System_duty_culc_w_ast,1,183027,183028
70,a_controller_System_iuvw,1,247859,247860
71,a_controller_System_pos,1,1,2
72,a_controller_System_pos_to_theta,1,247864,247865
73,a_controller_System_pos_to_theta_Constant,1,3,4
74,a_controller_System_pos_to_theta_Constant1,1,4,5
75,a_controller_System_pos_to_theta_Constant2,1,5,6
76,a_controller_System_pos_to_theta_Constant3,1,6,7
77,a_controller_System_pos_to_theta_Constant4,1,7,8
78,a_controller_System_pos_to_theta_Constant5,1,8,9
79,a_controller_System_pos_to_theta_Gain,1,4690,12640
80,a_controller_System_pos_to_theta_MultiportSwitch,1,9,4690
81,a_controller_System_pos_to_theta_pos,1,2,3
82,a_controller_System_pos_to_theta_theta,1,12640,12641
83,a_controller_System_rpm_culc,0,252634,252635
84,a_controller_System_rpm_culc_Constant,0,46992,46993
85,a_controller_System_rpm_culc_Constant1,0,41887,41888
86,a_controller_System_rpm_culc_Divide,0,41888,46992
87,a_controller_System_rpm_culc_Gain,0,37444,41887
88,a_controller_System_rpm_culc_Switch,0,46993,53051
89,a_controller_System_rpm_culc_counter,0,252635,252636
90,a_controller_System_rpm_culc_counter_Constant,0,233027,233028
91,a_controller_System_rpm_culc_counter_Constant5,0,247841,247842
92,a_controller_System_rpm_culc_counter_Sum,0,233028,237521
93,a_controller_System_rpm_culc_counter_Switch,0,247842,252628
94,a_controller_System_rpm_culc_counter_UnitDelay,0,5698,11396
95,a_controller_System_rpm_culc_counter_count,0,16750,16751
96,a_controller_System_rpm_culc_counter_if,0,247840,247841
97,a_controller_System_rpm_culc_culc_div_num,0,252636,252637
98,a_controller_System_rpm_culc_culc_div_num_Switch1,0,32227,37443
99,a_controller_System_rpm_culc_culc_div_num_UnitDelay,0,21674,27372
100,a_controller_System_rpm_culc_culc_div_num_count,0,32226,32227
101,a_controller_System_rpm_culc_culc_div_num_div_num,0,37443,37444
102,a_controller_System_rpm_culc_culc_div_num_if,0,32225,32226
103,a_controller_System_rpm_culc_if,0,252637,252638
104,a_controller_System_rpm_culc_if_CompareToConstant,0,252638,252639
105,a_controller_System_rpm_culc_if_CompareToConstant_Compare,0,16754,21674
106,a_controller_System_rpm_culc_if_CompareToConstant_Constant,0,16753,16754
107,a_controller_System_rpm_culc_if_CompareToConstant_u,0,16752,16753
108,a_controller_System_rpm_culc_if_CompareToConstant_y,0,27372,27373
109,a_controller_System_rpm_culc_if_LogicalOperator,0,27373,32224
110,a_controller_System_rpm_culc_if_RelationalOperator,0,11400,16750
111,a_controller_System_rpm_culc_if_count,0,16751,16752
112,a_controller_System_rpm_culc_if_if,0,32224,32225
113,a_controller_System_rpm_culc_if_pos,0,11398,11399
114,a_controller_System_rpm_culc_if_prev_pos,0,11399,11400
115,a_controller_System_rpm_culc_pos,0,11397,11398
116,a_controller_System_rpm_culc_rpm,0,53051,53052
117,a_controller_System_rpm_culc_update_prev_pos,0,252639,252640
118,a_controller_System_rpm_culc_update_prev_pos_Switch3,0,237523,242739
119,a_controller_System_rpm_culc_update_prev_pos_UnitDelay1,0,0,5698
120,a_controller_System_rpm_culc_update_prev_pos_if,0,237521,237522
121,a_controller_System_rpm_culc_update_prev_pos_pos,0,237522,237523
122,a_controller_System_rpm_culc_update_prev_pos_prev_pos,0,11396,11397
123,a_controller_System_sector,1,247860,247861
124,a_controller_System_sector_culc,1,247865,247866
125,a_controller_System_sector_culc_Constant,1,57607,57608
126,a_controller_System_sector_culc_Constant1,1,57608,57609
127,a_controller_System_sector_culc_Constant10,1,51978,51979
128,a_controller_System_sector_culc_Constant11,1,57609,57610
129,a_controller_System_sector_culc_Constant12,1,57610,57611
130,a_controller_System_sector_culc_Constant13,1,57611,57612
131,a_controller_System_sector_culc_Constant14,1,57612,57613
132,a_controller_System_sector_culc_Constant15,1,57613,57614
133,a_controller_System_sector_culc_Constant16,1,57614,57615
134,a_controller_System_sector_culc_Constant17,1,201927,201928
135,a_controller_System_sector_culc_Constant2,1,57615,57616
136,a_controller_System_sector_culc_Constant3,1,57616,57617
137,a_controller_System_sector_culc_Constant34,1,57617,57618
138,a_controller_System_sector_culc_Constant35,1,57618,57619
139,a_controller_System_sector_culc_Constant36,1,23833,23834
140,a_controller_System_sector_culc_Constant4,1,29462,29463
141,a_controller_System_sector_culc_Constant5,1,57619,57620
142,a_controller_System_sector_culc_Constant6,1,57620,57621
143,a_controller_System_sector_culc_Constant7,1,35091,35092
144,a_controller_System_sector_culc_Constant8,1,40720,40721
145,a_controller_System_sector_culc_Constant9,1,46349,46350
146,a_controller_System_sector_culc_Gain,1,15883,23833
147,a_controller_System_sector_culc_Product,1,129707,183025
148,a_controller_System_sector_culc_Switch1,1,201928,214170
149,a_controller_System_sector_culc_Switch10,1,109111,119409
150,a_controller_System_sector_culc_Switch11,1,51979,57607
151,a_controller_System_sector_culc_Switch12,1,98813,109111
152,a_controller_System_sector_culc_Switch2,1,88515,98813
153,a_controller_System_sector_culc_Switch23,1,67919,78217
154,a_controller_System_sector_culc_Switch24,1,23834,29462
155,a_controller_System_sector_culc_Switch3,1,29463,35091
156,a_controller_System_sector_culc_Switch4,1,78217,88515
157,a_controller_System_sector_culc_Switch5,1,35092,40720
158,a_controller_System_sector_culc_Switch6,1,57621,67919
159,a_controller_System_sector_culc_Switch7,1,40721,46349
160,a_controller_System_sector_culc_Switch8,1,119409,129707
161,a_controller_System_sector_culc_Switch9,1,46350,51978
162,a_controller_System_sector_culc_Zero_OrderHold1,1,12642,15883
163,a_controller_System_sector_culc_sector,1,247855,247856
164,a_controller_System_sector_culc_theta,1,12641,12642
165,a_controller_System_sector_culc_w,1,201926,201927
166,a_controller_System_speed_command,1,183026,183027
167,a_controller_System_wre,1,247858,247859
168,a_controller_duty,0,252630,252631
169,a_controller_iuvw,1,247856,247857
170,a_controller_pos,1,0,1
171,a_controller_sector,1,247861,247862
172,a_controller_speed_command,1,183025,183026
173,a_controller_wre,1,247857,247858
